ELECRRIC_VEHICLE,ev_min_soc,ev_max_soc
Chongqing-Ev,0.2,1
Henan-Ev,0.2,1
Hubei-Ev,0.2,1
Hunan-Ev,0.2,1
Jiangxi-Ev,0.2,1
Sichuan-Ev,0.2,1
Anhui-Ev,0.2,1
Fujian-Ev,0.2,1
Jiangsu-Ev,0.2,1
Shanghai-Ev,0.2,1
Zhejiang-Ev,0.2,1
Beijing-Ev,0.2,1
Hebei-Ev,0.2,1
Shandong-Ev,0.2,1
Shanxi-Ev,0.2,1
Tianjin-Ev,0.2,1
West_Inner_Mongolia-Ev,0.2,1
East_Inner_Mongolia-Ev,0.2,1
Heilongjiang-Ev,0.2,1
Jilin-Ev,0.2,1
Liaoning-Ev,0.2,1
Gansu-Ev,0.2,1
Ningxia-Ev,0.2,1
Qinghai-Ev,0.2,1
Shaanxi-Ev,0.2,1
Xinjiang-Ev,0.2,1
Guangdong-Ev,0.2,1
Guangxi-Ev,0.2,1
Guizhou-Ev,0.2,1
Hainan-Ev,0.2,1
Yunnan-Ev,0.2,1
Tibet-Ev,0.2,1